Date,CPIUS
01-08-2020,1.28107
01-09-2020,1.39102
01-10-2020,1.23039
01-11-2020,1.17575
01-12-2020,1.32042
01-01-2021,1.35532
01-02-2021,1.6675
01-03-2021,2.62365
01-04-2021,4.13737
01-05-2021,4.92647
01-06-2021,5.31742
01-07-2021,5.26917
01-08-2021,5.18132
01-09-2021,5.36352
01-10-2021,6.22659
01-11-2021,6.86556
01-12-2021,7.15946
01-01-2022,7.57808
01-02-2022,7.94922
01-03-2022,8.54078
01-04-2022,8.23516
01-05-2022,8.53005
01-06-2022,8.9993
01-07-2022,8.44778
01-08-2022,8.21626
01-09-2022,8.20575
01-10-2022,7.75726
01-11-2022,7.13138
01-12-2022,6.41083
01-01-2023,6.3403
01-02-2023,5.95765
01-03-2023,4.93135
01-04-2023,4.94695
01-05-2023,4.12531
01-06-2023,3.05925
01-07-2023,3.28033
01-08-2023,3.71864
01-09-2023,3.69508
01-10-2023,3.24654
01-11-2023,3.13986
01-12-2023,3.3222
01-01-2024,3.10794
01-02-2024,3.16642
01-03-2024,3.469
01-04-2024,3.35405
01-05-2024,3.23887
01-06-2024,2.97009
01-07-2024,2.93846
01-08-2024,2.61091
01-09-2024,2.43254
01-10-2024,2.5714
01-11-2024,2.71417
01-12-2024,2.87237
01-01-2025,2.99941
01-02-2025,2.81427
01-03-2025,2.40559
01-04-2025,2.33375
01-05-2025,2.37593
01-06-2025,2.67268
01-07-2025,2.7318
01-08-2025,2.93922
