msoa_code,income_before_housing,income_after_housing,housing_cost,housing_cost_pct
W02000001,30.541,30.369,0.1720000000000006,0.6
W02000002,33.893,36.114,-2.2209999999999965,-6.6
W02000003,28.888,24.944,3.9440000000000026,13.7
W02000004,34.162,34.497,-0.33500000000000085,-1.0
W02000005,36.441,34.602,1.8390000000000057,5.0
W02000006,32.372,31.473,0.8990000000000009,2.8
W02000007,34.399,30.753,3.646000000000001,10.6
W02000008,37.598,35.255,2.3429999999999964,6.2
W02000009,34.442,31.897,2.5450000000000017,7.4
W02000010,31.364,24.995,6.369,20.3
W02000011,33.942,29.574,4.3679999999999986,12.9
W02000012,34.979,30.363,4.616,13.2
W02000013,35.476,33.946,1.5300000000000011,4.3
W02000014,33.524,30.998,2.526,7.5
W02000015,33.69,30.699,2.990999999999996,8.9
W02000016,35.048,32.159,2.889000000000003,8.2
W02000017,31.856,30.536,1.3200000000000003,4.1
W02000018,30.355,28.177,2.178000000000001,7.2
W02000019,31.343,30.605,0.7379999999999995,2.4
W02000020,32.264,32.463,-0.19899999999999807,-0.6
W02000021,30.962,30.738,0.2240000000000002,0.7
W02000022,31.351,32.471,-1.1199999999999974,-3.6
W02000023,31.668,35.872,-4.204000000000001,-13.3
W02000024,31.861,31.274,0.5869999999999997,1.8
W02000025,31.082,30.958,0.12400000000000233,0.4
W02000026,30.235,32.733,-2.4979999999999976,-8.3
W02000027,29.589,26.698,2.8909999999999982,9.8
W02000028,32.638,30.08,2.558,7.8
W02000029,35.264,36.903,-1.6389999999999958,-4.6
W02000030,33.38,31.161,2.219000000000001,6.6
W02000031,30.464,29.672,0.791999999999998,2.6
W02000032,36.119,34.669,1.4500000000000028,4.0
W02000033,29.707,27.772,1.9350000000000023,6.5
W02000034,35.228,33.6,1.6280000000000001,4.6
W02000035,34.105,28.817,5.287999999999997,15.5
W02000036,32.145,31.528,0.6170000000000044,1.9
W02000037,32.779,29.515,3.264000000000003,10.0
W02000038,34.621,32.328,2.2929999999999993,6.6
W02000039,32.53,30.285,2.245000000000001,6.9
W02000040,33.123,33.711,-0.588000000000001,-1.8
W02000041,33.052,31.767,1.2850000000000001,3.9
W02000042,31.363,30.173,1.1900000000000013,3.8
W02000043,31.871,30.35,1.5209999999999972,4.8
W02000044,34.168,30.807,3.3610000000000007,9.8
W02000045,27.012,24.351,2.6610000000000014,9.9
W02000047,28.397,24.143,4.253999999999998,15.0
W02000049,35.884,31.856,4.027999999999999,11.2
W02000050,34.381,32.571,1.8100000000000023,5.3
W02000051,33.514,34.128,-0.6139999999999972,-1.8
W02000052,31.01,26.736,4.274000000000001,13.8
W02000053,35.181,35.254,-0.0730000000000004,-0.2
W02000054,36.928,36.572,0.35599999999999454,1.0
W02000055,35.355,32.85,2.5049999999999955,7.1
W02000056,33.598,31.68,1.9179999999999993,5.7
W02000057,33.165,32.643,0.5219999999999985,1.6
W02000419,32.883,30.192,2.6910000000000025,8.2
W02000058,31.789,31.826,-0.036999999999999034,-0.1
W02000059,34.045,30.502,3.543000000000003,10.4
W02000060,30.219,27.941,2.2780000000000022,7.5
W02000061,29.646,27.617,2.029,6.8
W02000062,34.711,33.719,0.9919999999999973,2.9
W02000063,34.53,35.801,-1.2710000000000008,-3.7
W02000064,30.088,26.826,3.2620000000000005,10.8
W02000065,32.879,31.982,0.8969999999999985,2.7
W02000066,30.452,26.918,3.5340000000000025,11.6
W02000067,36.104,36.512,-0.40800000000000125,-1.1
W02000068,31.179,28.763,2.415999999999997,7.7
W02000069,36.668,34.61,2.058,5.6
W02000070,38.452,36.04,2.411999999999999,6.3
W02000071,35.536,34.665,0.8710000000000022,2.5
W02000072,35.09,32.123,2.967000000000006,8.5
W02000073,35.445,31.674,3.771000000000001,10.6
W02000074,33.601,31.884,1.7169999999999987,5.1
W02000075,37.4,37.829,-0.42900000000000205,-1.1
W02000076,36.32,31.72,4.600000000000001,12.7
W02000077,35.206,32.143,3.0630000000000024,8.7
W02000080,31.555,29.126,2.4289999999999985,7.7
W02000081,31.371,28.77,2.600999999999999,8.3
W02000082,31.92,29.063,2.857000000000003,9.0
W02000083,32.988,30.154,2.8339999999999996,8.6
W02000085,32.904,34.597,-1.6929999999999978,-5.1
W02000087,27.298,24.178,3.1199999999999974,11.4
W02000088,34.277,31.47,2.807000000000002,8.2
W02000089,29.281,25.499,3.782,12.9
W02000090,31.254,30.121,1.1330000000000027,3.6
W02000091,32.989,31.711,1.2779999999999987,3.9
W02000092,30.68,26.449,4.230999999999998,13.8
W02000093,33.617,33.331,0.28599999999999426,0.9
W02000094,29.133,27.523,1.6099999999999994,5.5
W02000095,34.733,34.243,0.4899999999999949,1.4
W02000096,32.684,30.327,2.3569999999999958,7.2
W02000424,37.391,36.398,0.992999999999995,2.7
W02000425,34.845,38.132,-3.286999999999999,-9.4
W02000426,33.584,32.389,1.1950000000000003,3.6
W02000116,36.37,33.379,2.9909999999999997,8.2
W02000117,35.32,29.979,5.341000000000001,15.1
W02000118,32.998,28.254,4.743999999999996,14.4
W02000120,33.287,34.108,-0.820999999999998,-2.5
W02000122,32.047,33.269,-1.2220000000000013,-3.8
W02000123,32.246,29.686,2.5600000000000023,7.9
W02000124,30.796,29.366,1.4299999999999997,4.6
W02000125,32.39,33.381,-0.9909999999999997,-3.1
W02000421,34.22,34.308,-0.08800000000000097,-0.3
W02000126,33.059,31.779,1.2799999999999976,3.9
W02000127,33.286,30.904,2.3820000000000014,7.2
W02000128,33.308,35.397,-2.0889999999999986,-6.3
W02000129,33.785,34.089,-0.30400000000000205,-0.9
W02000130,30.968,27.807,3.1610000000000014,10.2
W02000131,32.978,29.811,3.1670000000000016,9.6
W02000132,33.122,33.125,-0.0030000000000001137,-0.0
W02000133,33.872,33.457,0.41499999999999915,1.2
W02000134,33.748,30.801,2.946999999999999,8.7
W02000135,30.26,26.681,3.5790000000000006,11.8
W02000136,32.403,34.978,-2.575000000000003,-7.9
W02000137,29.441,26.182,3.2590000000000003,11.1
W02000138,28.585,26.72,1.865000000000002,6.5
W02000139,34.834,33.291,1.5430000000000064,4.4
W02000140,30.176,26.2,3.975999999999999,13.2
W02000141,31.975,33.481,-1.5060000000000002,-4.7
W02000142,29.727,30.486,-0.7590000000000003,-2.6
W02000143,31.091,33.921,-2.8299999999999983,-9.1
W02000144,30.889,31.417,-0.5280000000000022,-1.7
W02000145,34.547,35.347,-0.8000000000000043,-2.3
W02000146,35.818,33.99,1.8279999999999959,5.1
W02000147,35.237,32.544,2.693000000000005,7.6
W02000148,34.486,29.544,4.941999999999997,14.3
W02000149,32.79,30.17,2.6199999999999974,8.0
W02000151,29.493,28.874,0.6189999999999998,2.1
W02000152,33.448,32.487,0.9609999999999985,2.9
W02000153,34.869,33.11,1.7590000000000003,5.0
W02000154,31.108,29.835,1.2729999999999997,4.1
W02000156,31.708,32.255,-0.5470000000000041,-1.7
W02000157,33.007,32.14,0.8669999999999973,2.6
W02000158,35.081,32.258,2.8230000000000004,8.0
W02000159,30.663,30.017,0.6460000000000008,2.1
W02000160,34.194,31.777,2.4170000000000016,7.1
W02000161,31.542,28.262,3.280000000000001,10.4
W02000162,31.75,30.054,1.6960000000000015,5.3
W02000163,31.814,27.842,3.9720000000000013,12.5
W02000164,32.763,31.601,1.161999999999999,3.5
W02000165,30.954,27.592,3.362000000000002,10.9
W02000166,31.197,29.08,2.117000000000001,6.8
W02000167,28.095,24.579,3.5159999999999982,12.5
W02000418,32.315,33.415,-1.1000000000000014,-3.4
W02000168,32.5,30.58,1.9200000000000017,5.9
W02000169,31.702,29.598,2.1040000000000028,6.6
W02000170,34.01,33.178,0.8320000000000007,2.4
W02000171,38.12,36.991,1.1289999999999978,3.0
W02000172,31.384,28.808,2.5760000000000005,8.2
W02000173,35.912,34.349,1.5630000000000024,4.4
W02000174,34.437,31.73,2.706999999999997,7.9
W02000175,31.491,27.009,4.481999999999999,14.2
W02000176,29.779,28.074,1.7049999999999983,5.7
W02000177,34.294,29.691,4.602999999999998,13.4
W02000178,25.387,23.23,2.157,8.5
W02000179,34.969,32.403,2.5660000000000025,7.3
W02000180,29.578,25.951,3.626999999999999,12.3
W02000181,29.967,26.803,3.163999999999998,10.6
W02000182,30.482,28.115,2.367000000000001,7.8
W02000183,27.611,25.267,2.344000000000001,8.5
W02000184,30.013,28.687,1.3260000000000005,4.4
W02000185,36.042,33.748,2.294000000000004,6.4
W02000186,25.185,20.664,4.520999999999997,18.0
W02000188,29.965,27.119,2.846,9.5
W02000189,34.458,31.034,3.4239999999999995,9.9
W02000191,34.445,31.309,3.1359999999999992,9.1
W02000192,26.583,23.597,2.985999999999997,11.2
W02000193,27.102,26.959,0.14300000000000068,0.5
W02000194,44.1,35.855,8.245000000000005,18.7
W02000195,41.093,39.641,1.4520000000000053,3.5
W02000196,36.619,33.881,2.7379999999999995,7.5
W02000197,40.298,38.669,1.6290000000000049,4.0
W02000198,42.54,40.343,2.1969999999999956,5.2
W02000428,37.006,35.248,1.7580000000000027,4.8
W02000200,30.571,27.477,3.094000000000001,10.1
W02000201,31.258,29.152,2.105999999999998,6.7
W02000202,33.879,30.373,3.5059999999999967,10.3
W02000204,37.642,33.953,3.689,9.8
W02000205,31.1,30.051,1.049000000000003,3.4
W02000206,27.352,24.438,2.9140000000000015,10.7
W02000207,34.338,34.185,0.1529999999999987,0.4
W02000208,31.492,32.7,-1.208000000000002,-3.8
W02000210,30.493,27.048,3.4450000000000003,11.3
W02000211,28.649,24.987,3.6620000000000026,12.8
W02000212,31.194,28.121,3.0730000000000004,9.9
W02000213,35.707,32.676,3.030999999999999,8.5
W02000214,29.503,26.036,3.4669999999999987,11.8
W02000215,29.098,25.52,3.5779999999999994,12.3
W02000216,30.828,28.884,1.943999999999999,6.3
W02000217,32.781,29.323,3.4579999999999984,10.5
W02000417,30.516,28.193,2.322999999999997,7.6
W02000427,29.948,26.164,3.783999999999999,12.6
W02000218,27.207,24.204,3.003,11.0
W02000219,29.685,26.313,3.372,11.4
W02000220,29.315,27.742,1.5730000000000004,5.4
W02000221,29.207,25.547,3.66,12.5
W02000222,31.88,30.412,1.468,4.6
W02000223,32.387,31.229,1.1580000000000013,3.6
W02000224,32.215,27.85,4.365000000000002,13.5
W02000225,29.722,28.07,1.652000000000001,5.6
W02000226,34.783,33.095,1.6880000000000024,4.9
W02000227,31.081,27.525,3.556000000000001,11.4
W02000228,37.178,39.451,-2.2730000000000032,-6.1
W02000229,31.589,30.325,1.2639999999999993,4.0
W02000230,37.644,39.356,-1.7120000000000033,-4.5
W02000231,30.895,28.472,2.4229999999999983,7.8
W02000232,37.512,36.657,0.855000000000004,2.3
W02000233,34.525,28.633,5.8919999999999995,17.1
W02000234,38.07,35.242,2.828000000000003,7.4
W02000235,37.429,40.425,-2.995999999999995,-8.0
W02000236,33.966,33.497,0.4690000000000012,1.4
W02000237,43.033,40.483,2.5500000000000043,5.9
W02000238,44.521,42.686,1.8350000000000009,4.1
W02000239,40.495,40.51,-0.015000000000000568,-0.0
W02000240,36.737,36.654,0.08299999999999841,0.2
W02000241,43.584,38.797,4.787000000000006,11.0
W02000242,38.379,37.013,1.3659999999999997,3.6
W02000243,30.294,27.433,2.8610000000000007,9.4
W02000244,40.388,39.028,1.3599999999999994,3.4
W02000245,31.499,29.777,1.7219999999999978,5.5
W02000246,35.975,36.294,-0.3189999999999955,-0.9
W02000247,39.738,34.633,5.104999999999997,12.8
W02000248,31.257,28.416,2.841000000000001,9.1
W02000249,33.085,30.585,2.5,7.6
W02000250,36.946,34.853,2.0929999999999964,5.7
W02000251,35.334,31.873,3.461000000000002,9.8
W02000367,44.598,42.185,2.4129999999999967,5.4
W02000368,41.974,37.709,4.2649999999999935,10.2
W02000369,46.494,36.364,10.130000000000003,21.8
W02000370,42.098,39.423,2.674999999999997,6.4
W02000371,36.304,32.995,3.3090000000000046,9.1
W02000372,46.617,42.613,4.003999999999998,8.6
W02000373,29.956,27.378,2.5779999999999994,8.6
W02000374,45.481,38.427,7.054000000000002,15.5
W02000375,32.628,29.195,3.433,10.5
W02000376,38.837,34.504,4.3330000000000055,11.2
W02000377,37.698,33.057,4.640999999999998,12.3
W02000378,40.905,41.43,-0.5249999999999986,-1.3
W02000379,28.382,25.023,3.3590000000000018,11.8
W02000380,44.562,40.684,3.878,8.7
W02000381,31.332,27.556,3.776,12.1
W02000382,28.305,27.41,0.8949999999999996,3.2
W02000383,30.231,27.026,3.205000000000002,10.6
W02000384,45.419,48.679,-3.260000000000005,-7.2
W02000385,41.691,37.594,4.097000000000001,9.8
W02000386,40.52,41.53,-1.009999999999998,-2.5
W02000387,38.957,40.729,-1.7719999999999985,-4.5
W02000388,33.727,31.969,1.7579999999999956,5.2
W02000389,32.773,30.589,2.1840000000000046,6.7
W02000390,41.354,35.762,5.591999999999999,13.5
W02000391,34.085,36.955,-2.8699999999999974,-8.4
W02000392,43.871,38.709,5.161999999999999,11.8
W02000393,33.085,30.296,2.7890000000000015,8.4
W02000394,26.918,28.362,-1.443999999999999,-5.4
