Region,Deposit,Year_col,Credit,CD_Ratio
NORTHERN REGION,1971181.4701999996,2016,1648825.6598,0.8364656855427457
Haryana,252602.4404,2016,176541.87709999998,0.6988922071395791
Himachal Pradesh,66349.9389,2016,21800.0859,0.32856226036404085
Jammu & Kashmir,80314.309,2016,35484.7429,0.4418234227726469
Punjab,290177.9983,2016,202470.6233,0.6977462953296554
Rajasthan,258997.5616,2016,187558.926,0.7241725552986829
Chandigarh,55680.532,2016,54458.019799999995,0.9780441717043938
Delhi,967058.69,2016,970511.3847999999,1.0035703053348293
Ladakh,,2016,,
NORTH EASTERN REGION,166207.08610000001,2016,63830.1851,0.38404009478630763
Arunachal Pradesh,8732.1238,2016,2533.1297999999997,0.29009320733634125
Assam,102303.8824,2016,43201.8765,0.4222897067687433
Manipur,6036.0538,2016,2480.0205,0.4108678587324719
Meghalaya,18168.2455,2016,4498.7343,0.24761523065064261
Mizoram,5913.2292,2016,2370.202,0.4008303956829545
Nagaland,7728.3955,2016,2637.21,0.341236418348414
Tripura,17325.1559,2016,6109.012000000001,0.35260935227717055
EASTERN REGION,1231480.3668,2016,552944.7607,0.4490081820279654
Bihar,243073.2024,2016,81270.3833,0.334345302145902
Jharkhand,159622.4077,2016,47180.1385,0.2955734046354696
Odisha,209214.9993,2016,85435.9547,0.4083643858511822
Sikkim,6353.9559,2016,1781.7006000000001,0.2804080840409988
West Bengal,609983.6503,2016,335847.4901,0.550584413098326
Andaman & Nicobar Islands,3232.1512,2016,1429.0935,0.44214933385542116
CENTRAL REGION,1225993.9422,2016,603960.2355000001,0.49262905362828807
Chhattisgarh,104611.7235,2016,66404.5111,0.6347712175872908
Madhya Pradesh,282590.4752,2016,172929.29210000002,0.6119431023908765
Uttar Pradesh,742274.1811,2016,330923.18059999996,0.4458233750089411
Uttarakhand,96517.5624,2016,33703.2517,0.3491929433559752
WESTERN REGION,2762978.8328,2016,2652142.2928,0.9598851288022071
Goa,55948.1882,2016,15142.426199999998,0.27065087694832624
Gujarat,518453.2643,2016,390758.109,0.7536997756732998
Maharashtra,2181768.9924,2016,2244286.2012,1.0286543667169958
Dadra & Nagar Haveli,3080.4022,2016,1103.4162000000001,0.3582052369654846
Daman & Diu,3727.9857,2016,852.1402,0.22857925662107556
SOUTHERN REGION,2241689.3823,2016,2000941.5988000003,0.8926043075365822
Andhra Pradesh,210237.4793,2016,222921.28900000002,1.0603308684171424
Karnataka,696063.4764,2016,488116.7912,0.7012532732280563
Kerala,366136.6759,2016,227364.38760000002,0.6209822794755974
Tamil Nadu,600034.7778,2016,682047.1398,1.136679347654972
Lakshadweep,754.8396,2016,79.0709,0.10475192345499626
Puducherry,12676.2542,2016,8501.554399999999,0.6706677119176104
Telangana,355785.8791,2016,371911.3659,1.0453235716965248
ALL INDIA,9599531.0804,2016,7522644.7327000005,0.7836471041861081
NORTHERN REGION,2278199.9214,2017,1709769.7182,0.7504915183867235
Haryana,309629.0791,2017,183071.0427,0.5912592035351889
Himachal Pradesh,78523.0475000001,2017,23338.5558,0.2972191801394357
Jammu & Kashmir,93345.8413,2017,37194.1482,0.3984553321498641
Punjab,330956.1533,2017,228314.37050000002,0.6898628964092447
Rajasthan,313672.9505,2017,212778.7981,0.6783460217427962
Chandigarh,59618.0159,2017,60025.4635,1.0068343032529534
Delhi,1092454.8338,2017,965047.3393999999,0.8833750463103127
Ladakh,,2017,,
NORTH EASTERN REGION,198133.8911,2017,72823.2939,0.3675458726202748
Arunachal Pradesh,11865.7176,2017,2843.0178,0.23959931424627873
Assam,120975.735,2017,48753.8169,0.403004924086636
Manipur,7773.5124,2017,3005.3262,0.3866111025950123
Meghalaya,20449.9429,2017,5290.0293,0.25868186164959905
Mizoram,7165.7892,2017,2606.8409,0.36378978326630096
Nagaland,9421.8378,2017,2969.7652,0.31520020435928114
Tripura,20481.3562,2017,7354.4976,0.3590825494260971
EASTERN REGION,1417856.6919999998,2017,581185.9726,0.4099045946457331
Bihar,295172.989,2017,91293.7723,0.3092890464310066
Jharkhand,184171.5703,2017,49963.0317,0.27128525656057784
Odisha,245280.6316,2017,93366.3959,0.380651318821865
Sikkim,6954.4402,2017,1905.3184,0.27397149809412413
West Bengal,682175.3265,2017,343078.9094,0.5029189653636645
Andaman & Nicobar Islands,4101.7344,2017,1578.5449,0.3848481510650714
CENTRAL REGION,1431164.2732,2017,657938.2959,0.4597224149739906
Chhattisgarh,118872.463,2017,74178.5359,0.6240178257263838
Madhya Pradesh,313014.299,2017,190639.1379,0.60904290477797
Uttar Pradesh,885163.3069,2017,354026.6619,0.39995632347195303
Uttarakhand,114114.2043,2017,39093.9602,0.3425862752127169
WESTERN REGION,2869059.3639,2017,2761368.9296999997,0.9624648985813895
Goa,61693.2176,2017,15856.0863,0.2570150644890339
Gujarat,603972.7436,2017,415845.9074,0.6885176720415169
Maharashtra,2195510.9188,2017,2327350.5931,1.0600496554906953
Dadra & Nagar Haveli,3593.1092,2017,1310.0701,0.36460625800073093
Daman & Diu,4289.3747,2017,1006.2728,0.23459661847681432
SOUTHERN REGION,2535615.3465,2017,2134782.2889,0.8419188233131323
Andhra Pradesh,249228.6611,2017,252039.7119,1.0112790029348675
Karnataka,783250.4174,2017,524756.4682,0.6699727910033284
Kerala,411408.1076,2017,245826.5758,0.597524869488012
Tamil Nadu,668507.2448,2017,707383.2627000001,1.0581534728342858
Lakshadweep,960.762,2017,80.4949,0.08378235192482635
Puducherry,14606.3741,2017,9336.4838,0.6392061257694337
Telangana,407653.7795,2017,395359.2916,0.9698408587917925
ALL INDIA,10730029.4881,2017,7917868.4991999995,0.7379167511124931
NORTHERN REGION,2443655.7273,2018,1909186.3661,0.7812828725302741
Haryana,366392.9075,2018,214887.7972,0.5864955156098376
Himachal Pradesh,84896.1811,2018,26373.1996,0.3106523669060539
Jammu & Kashmir,103991.1491,2018,44585.4783,0.4287430102068177
Punjab,347797.4044,2018,220941.4061,0.6352589274815186
Rajasthan,334008.1655,2018,255727.7477,0.7656332213231476
Chandigarh,61928.3963,2018,69673.1373,1.1250596085595712
Delhi,1144641.5234,2018,1076997.5999,0.9409038357274747
Ladakh,,2018,,
NORTH EASTERN REGION,218759.64920000004,2018,85892.9864,0.3926363326788512
Arunachal Pradesh,13448.9272,2018,3361.8697,0.2499730759193938
Assam,134287.0908,2018,57185.9855,0.42584871828945753
Manipur,9018.7422,2018,4021.002,0.4458495332087439
Meghalaya,21502.6243,2018,5843.604,0.27176236344323795
Mizoram,8467.9457,2018,3029.2483,0.35773119093099526
Nagaland,10014.0852,2018,3478.5149,0.34736222336115136
Tripura,22020.2338,2018,8972.762,0.4074780532075913
EASTERN REGION,1511204.2560999999,2018,627978.1474,0.41554815959864877
Bihar,314811.2411,2018,101253.0086,0.3216308548773737
Jharkhand,195691.0753,2018,54268.4121,0.27731674536922535
Odisha,268905.4205,2018,101018.9301,0.3756671394431783
Sikkim,8532.8445,2018,2272.1698,0.26628515262407515
West Bengal,718580.3238,2018,367322.646,0.5111782689199206
Andaman & Nicobar Islands,4683.3509,2018,1842.9808,0.3935175559875302
CENTRAL REGION,1549975.3129,2018,743082.3126,0.47941557934216045
Chhattisgarh,132428.8082,2018,83655.6985,0.63170317423426
Madhya Pradesh,341432.6776,2018,222152.5994,0.6506483238849778
Uttar Pradesh,953577.9099,2018,392665.6434,0.4117813964893316
Uttarakhand,122535.9172,2018,44608.3713,0.36404323172602
WESTERN REGION,3006931.8367,2018,2954453.6147,0.98254758509671
Goa,65275.4331,2018,17426.6031,0.2669703175052545
Gujarat,640357.9003,2018,483920.7747,0.7557036064883231
Maharashtra,2292825.4457,2018,2450159.9325,1.0686203509713605
Dadra & Nagar Haveli,3876.755,2018,1684.595,0.4345373901626489
Daman & Diu,4596.3026,2018,1261.7094,0.27450529475583263
