Year,"Index Value, base year = 100"
1971,42.5
1972,43.7
1973,45.8
1974,45
1975,45.2
1976,47
1977,47.7
1978,49.2
1979,50.4
1980,50.5
1981,52.7
1982,55
1983,57.9
1984,57.6
1985,59.2
1986,60.7
1987,62.5
1988,63.5
1989,63.2
1990,63.9
1991,65.9
1992,68
1993,70.4
1994,71.6
1995,72.2
1996,73.7
1997,75.4
1998,77.4
1999,79.2
2000,82.5
2001,83.8
2002,85.2
2003,87.5
2004,88.7
2005,90.2
2006,91.9
2007,93.4
2008,92.9
2009,91.2
2010,92.9
2011,93.7
2012,93.4
2013,93.2
2014,93.6
2015,94
2016,94.7
2017,96.2
2018,96.7
2019,96.9
2020,98.1
2021,99.5
2022,100
2023,99.6
2024,98.8
